filename,rel_path,media_type,source_folder,label,is_real_fire,is_false_alarm,person_nearby,notes
农用火烟报警_告警图片-2026051312004806933931906-1.jpg,农业用火误报/农用火烟报警_告警图片-2026051312004806933931906-1.jpg,image,农用火烟报警,农业用火误报,False,True,,
农用火烟报警_告警图片-2026051212004806933921122-1.jpg,农业用火误报/农用火烟报警_告警图片-2026051212004806933921122-1.jpg,image,农用火烟报警,农业用火误报,False,True,,
正常烟报警（林缘）_告警视频-2026051312004806933931797-1.mp4,真实烟情-林缘/正常烟报警（林缘）_告警视频-2026051312004806933931797-1.mp4,video,正常烟报警（林缘）,真实烟情-林缘,True,False,,
正常烟报警（林缘）_告警图片-2026051312004806933931756-1.jpg,真实烟情-林缘/正常烟报警（林缘）_告警图片-2026051312004806933931756-1.jpg,image,正常烟报警（林缘）,真实烟情-林缘,True,False,,
正常烟报警（林缘）_告警图片-2026051312004806933931797-1.jpg,真实烟情-林缘/正常烟报警（林缘）_告警图片-2026051312004806933931797-1.jpg,image,正常烟报警（林缘）,真实烟情-林缘,True,False,,
正常烟报警（林缘）_告警视频-2026051312004806933931756-1.mp4,真实烟情-林缘/正常烟报警（林缘）_告警视频-2026051312004806933931756-1.mp4,video,正常烟报警（林缘）,真实烟情-林缘,True,False,,
正常烟报警（涉林）_告警图片-2026051212004806933924120-1.jpg,真实烟情-涉林/正常烟报警（涉林）_告警图片-2026051212004806933924120-1.jpg,image,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警视频-2026051312004806933932083-1.mp4,真实烟情-涉林/正常烟报警（涉林）_告警视频-2026051312004806933932083-1.mp4,video,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警图片-2026051312004806933931461-1.jpg,真实烟情-涉林/正常烟报警（涉林）_告警图片-2026051312004806933931461-1.jpg,image,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警视频-2026051212004806933924120-1.mp4,真实烟情-涉林/正常烟报警（涉林）_告警视频-2026051212004806933924120-1.mp4,video,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警图片-2026051312004806933932083-1.jpg,真实烟情-涉林/正常烟报警（涉林）_告警图片-2026051312004806933932083-1.jpg,image,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警视频-2026051312004806933931461-1.mp4,真实烟情-涉林/正常烟报警（涉林）_告警视频-2026051312004806933931461-1.mp4,video,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警视频-2026051212004806933917604-1.mp4,真实烟情-涉林/正常烟报警（涉林）_告警视频-2026051212004806933917604-1.mp4,video,正常烟报警（涉林）,真实烟情-涉林,True,False,,
正常烟报警（涉林）_告警图片-2026051212004806933917604-1.jpg,真实烟情-涉林/正常烟报警（涉林）_告警图片-2026051212004806933917604-1.jpg,image,正常烟报警（涉林）,真实烟情-涉林,True,False,,
火告警_告警图片-2026051212004806933901622-1.jpg,真实火情/火告警_告警图片-2026051212004806933901622-1.jpg,image,火告警,真实火情,True,False,,
火告警_告警图片-2026051212004806933901622-2.jpg,真实火情/火告警_告警图片-2026051212004806933901622-2.jpg,image,火告警,真实火情,True,False,,
火告警_告警图片-2026051212004806933902373-1.jpg,真实火情/火告警_告警图片-2026051212004806933902373-1.jpg,image,火告警,真实火情,True,False,,
火告警_告警图片-2026051212004806933902373-2.jpg,真实火情/火告警_告警图片-2026051212004806933902373-2.jpg,image,火告警,真实火情,True,False,,
火告警_告警视频-2026051212004806933902373-1.mp4,真实火情/火告警_告警视频-2026051212004806933902373-1.mp4,video,火告警,真实火情,True,False,,
火告警_告警视频-2026051212004806933901622-1.mp4,真实火情/火告警_告警视频-2026051212004806933901622-1.mp4,video,火告警,真实火情,True,False,,
